1:  A. Natural Disasters
2:  A. The lack of buyer and sellers
3:  A. Price to book ratio
4:  A. Positive Correlation
6:  A. Southwestern Energy Company
5:  A. The bear means stock prices are falling
 and the bull means stock prices are rising.
7:  A. Small Cap
8:  A. Oil
9:  A. You receive a margin call order
10:  A. A rise in stock prices in January
11:  A. 10 Companies
12:  A. Positive Correlation
13:  BREAK
14:  D. x = 60
15:  C. -44
16:  C. 3x² + 6x + 2
17:  A. 4y² + 8y + 6
18:  A. 12g² + 30
19:  A. y > 2/5
20:  A. 2g² + 5g + 3
21:  A. -16√2
22:  A. 9
23:  A. 5x³ + 2x² - x - 1
Willingness Score: 5
